gjoin_src,gjoin_tgt,wt_pop,wt_hh
G2500070200400,G2500070200400,1.0,1.0
G2500070990000,G2500070990000,0.0,0.0
G2500090201100,G2500090201100,1.0,1.0
G2500090202101,G2500090202101,0.9995259790936171,0.9995259790936171
G2500090202101,G2500090204102,0.00047402090638293194,0.00047402090638293194
G2500090202103,G2500090202102,1.0,1.0
G2500090202104,G2500090202102,0.9971513330449518,0.9971513330449518
G2500090202104,G2500090204102,0.0028486669550481848,0.0028486669550481848
G2500090202200,G2500090202200,1.0,1.0
G2500090203100,G2500090203100,0.9991269179191047,0.9991269179191047
G2500090203100,G2500090204102,0.0008730820808953137,0.0008730820808953137
G2500090203200,G2500090203200,1.0,1.0
G2500090203301,G2500090203301,1.0,1.0
G2500090203302,G2500090203302,1.0,1.0
G2500090204101,G2500090204101,1.0,1.0
G2500090204102,G2500090204102,1.0,1.0
G2500090204200,G2500090204200,1.0,1.0
G2500090204300,G2500090204300,1.0,1.0
G2500090204400,G2500090204400,1.0,1.0
G2500090204500,G2500090204500,1.0,1.0
G2500090204600,G2500090204500,0.0038218726153240474,0.0038218726153240474
G2500090204600,G2500090204600,0.9961436154914941,0.9961436154914941
G2500090204600,G2500090210900,3.4511893181855946e-05,3.4511893181855946e-05
G2500090204701,G2500090204701,0.9999805807244823,0.9999805807244823
G2500090204701,G2500090210700,1.9419275517788815e-05,1.9419275517788815e-05
G2500090204702,G2500090204702,1.0,1.0
G2500090205100,G2500090205100,0.9999885013666947,0.9999885013666947
G2500090205100,G2500090205200,1.1498633305298571e-05,1.1498633305298571e-05
G2500090205200,G2500090205200,1.0,1.0
G2500090205300,G2500090205300,1.0,1.0
G2500090205400,G2500090205400,1.0,1.0
G2500090205500,G2500090205200,0.007146594258088016,0.007146594258088016
G2500090205500,G2500090205500,0.9928534057419119,0.9928534057419119
G2500090205600,G2500090205600,1.0,1.0
G2500090205700,G2500090205700,0.9975499856117205,0.9975499856117205
G2500090205700,G2500090208102,0.0024500143882795625,0.0024500143882795625
G2500090205800,G2500090205800,1.0,1.0
G2500090205900,G2500090205500,0.00011011568721228168,0.00011011568721228168
G2500090205900,G2500090205900,0.9998898843127877,0.9998898843127877
G2500090206000,G2500090206000,0.9850797411472152,0.9850797411472152
G2500090206000,G2500090207000,0.014306739897333477,0.014306739897333477
G2500090206000,G2500090207100,0.0006135189554513443,0.0006135189554513443
G2500090206100,G2500090206100,1.0,1.0
G2500090206200,G2500090206200,0.9952176371750903,0.9952176371750903
G2500090206200,G2500090206800,0.004782362824909784,0.004782362824909784
G2500090206300,G2500090206300,1.0,1.0
G2500090206400,G2500090206400,1.0,1.0
G2500090206500,G2500090206500,1.0,1.0
G2500090206600,G2500090206600,1.0,1.0
G2500090206700,G2500090206700,0.9951043350810655,0.9951043350810655
G2500090206700,G2500090206900,0.004895664918934437,0.004895664918934437
G2500090206800,G2500090206800,1.0,1.0
G2500090206900,G2500090206900,1.0,1.0
G2500090207000,G2500090207000,1.0,1.0
G2500090207100,G2500090207100,1.0,1.0
G2500090207200,G2500090207200,1.0,1.0
G2500090208101,G2500090208101,0.9901101995981052,0.9901101995981052
G2500090208101,G2500090208200,0.00737592017886946,0.00737592017886946
